home_id,away_id,form_home,form_away,standing_home,standing_away,h2h_home_wins,h2h_away_wins,result
3075,80,0,0,17,8,0,2,-1
141,3089,0,0,2,15,2,0,1
3071,3081,0,0,4,18,0,0,0
3079,3091,0,0,13,20,1,1,1
3073,3085,0,0,6,11,0,1,-1
3074,3429,0,0,20,9,0,2,-1
3100,3088,0,0,10,19,2,0,1
3086,164,0,0,12,3,0,1,0
88,84,0,0,5,1,0,1,0
102,3077,0,0,14,20,2,0,1
3089,3074,0,0,15,20,2,0,1
80,3100,0,0,8,10,2,0,1
3077,3079,0,0,20,13,0,1,-1
164,102,0,0,3,14,1,0,1
84,3071,0,0,1,4,2,0,1
3085,3086,0,0,11,12,0,1,-1
3081,88,0,0,18,5,1,1,1
3088,3073,0,0,19,6,1,0,1
3429,141,0,0,9,2,0,2,-1
88,3091,0,0,5,20,2,0,1
3071,164,0,0,4,3,0,2,-1
141,3085,0,0,2,11,0,1,0
3086,3429,0,0,12,9,0,1,0
3079,3081,0,0,13,18,0,1,-1
3073,3077,0,0,6,20,0,2,-1
102,3089,0,0,14,15,1,1,1
3075,3088,0,0,17,19,0,2,-1
3100,84,0,0,10,1,0,2,-1
3074,80,0,0,20,8,0,2,-1
3091,3081,0,0,20,18,0,2,-1
3086,3071,0,0,12,4,1,0,0
3079,3100,0,0,13,10,1,0,1
3075,164,0,0,17,3,0,2,-1
88,3089,0,0,5,15,1,1,-1
80,3085,0,0,8,11,2,0,1
3074,3073,0,0,20,6,0,1,0
3429,3077,0,0,9,20,2,0,1
84,3088,0,0,1,19,1,0,1
141,102,0,0,2,14,2,0,1
3077,84,0,0,20,1,0,2,-1
3081,80,0,0,18,8,0,2,-1
164,3074,0,0,3,20,2,0,1
3100,3086,0,0,10,12,2,0,1
3085,3091,0,0,11,20,2,0,1
3088,3429,0,0,19,9,1,1,1
102,3079,0,0,14,13,1,1,-1
3073,141,0,0,6,2,0,2,-1
3071,88,0,0,4,5,0,1,0
3089,3075,0,0,15,17,1,0,0
3086,3073,0,0,12,6,0,2,-1
80,3089,0,0,8,15,2,0,1
3075,102,0,0,17,14,0,1,-1
3091,3077,0,0,20,20,0,1,0
3429,3085,0,0,9,11,0,0,0
84,3081,0,0,1,18,1,0,1
3074,3100,0,0,20,10,0,2,-1
88,3088,0,0,5,19,0,1,-1
3079,3071,0,0,13,4,1,1,1
141,164,0,0,2,3,1,0,0
3071,141,0,0,4,2,0,2,-1
